id,first_name,last_name,institution
720,Claudine ,Katan,"Institut des Sciences Chimiques de Rennes, Universitede Rennes 1, F-35700 Rennes, France"
721,Jacky ,Even,"Institut FOTON, Universitede Rennes 1, F-35700 Rennes, France"
722,Sian E. ,Dutton,"Cavendish Laboratory, University of Cambridge, Cambridge CB3 0HE, United Kingdom"
723,Adam,Jaffe,"Department of Chemistry, Stanford University, Stanford, California 94305, United States"
724,Yu,Lin,"Department of Geological and Environmental Sciences, Stanford University, Stanford, California 94305, United States"
725,Wendy L.,Mao,"Department of Geological and Environmental Sciences, Stanford University, Stanford, California 94305, United States"
726,Hemamala I.,Karunadasa,"Department of Chemistry, Stanford University, Stanford, California 94305, United States"
727,Adam H.,Slavney,"Department of Chemistry, Stanford University, Stanford, California 94305, United States"
728,Te,Hu,"Department of Materials Science and Engineering, Stanford University, Stanford, California 94305, United States"
729,Aaron M.,Lindenberg,"Department of Materials Science and Engineering, Stanford University, Stanford, California 94305, United States"
730,Rebecca W.,Smaha,"Department of Chemistry, Stanford University, Stanford, California 94305, United States"
731,Ian C.,Smith,"Department of Chemistry, Stanford University, Stanford, California 94305, United States"
732,Daiki,Umeyama,"Department of Chemistry, Stanford University, Stanford, California 94305, United States"
733,Matthew D.,Smith,"Department of Chemistry, Stanford University, Stanford, CA 94305, USA"
734,Laurent,Pedesseau,"Fonctions Optiques pour les Technologies de l'information, CNRS, INSA de Rennes, 35708 Rennes, France"
735,Mikael,Kepenekian,"Institut des Sciences Chimiques de Rennes, CNRS, Universit e de Rennes 1, 35042 Rennes, France"
736,Ian C.,Smith,"Department of Chemistry, Stanford University, Stanford, CA 94305, USA"
737,Claudine,Katan,"Institut des Sciences Chimiques de Rennes, CNRS, Universit e de Rennes 1, 35042 Rennes, France"
738,Jacky,Even,"Fonctions Optiques pour les Technologies de l'information, CNRS, INSA de Rennes, 35708 Rennes, France"
739,Hemamala I.,Karunadasa,"Department of Chemistry, Stanford University, Stanford, CA 94305, USA"
740,Nicolas,Leblanc,Universite d'Angers
741,Nicolas,Mercier,Universite d'Angers
742,Leokadiya,Zorina,Universite d'Angers
743,Sergey,Simonov,Universite d'Angers
744,Pascale,Auban-Senzier,Universite Paris Sud
745,Claude,Pasquier,Universite Paris Sud
746,Tae Hwan,Moon,Chung-Ang University
747,Seung-Jin,Oh,Chung-Ang University
748,Kang Min,Ok,Chung-Ang University
749,Linn,Leppert,"Molecular Foundry, Lawrence Berkeley National Laboratory, Berkeley, California 94720, United States; Department of Physics, University of California Berkeley, Berkeley, California 94720, United States"
750,Davide,Bartesaghi,"Optoelectronic Materials Section, Department of Chemical Engineering, Delft University of Technology, 2628CD Delft, The Netherlands; Materials Innovation Institute (M2i), 2628CD Delft, The Netherlands"
751,Aryeh,Gold-Parker,"Department of Chemistry, Stanford University, Stanford, California 94305, United States; Stanford Synchrotron Radiation Lightsource, SLAC National Accelerator Laboratory, Menlo Park, California 94025, United States"
752,Michael F.,Toney,"Stanford Synchrotron Radiation Lightsource, SLAC National Accelerator Laboratory, Menlo Park, California 94025, United States"
753,Tom J.,Savenije,"Optoelectronic Materials Section, Department of Chemical Engineering, Delft University of Technology, 2628CD Delft, The Netherlands"
754,Jeffrey B.,Neaton,"Molecular Foundry, Lawrence Berkeley National Laboratory, Berkeley, California 94720, United States; Department of Physics, University of California Berkeley, Berkeley, California 94720, United States; Kavli Energy NanoScience, Institute at Berkeley, Berkeley, California 94720, United States"
755,Diego,Solis-Ibarra,"Department of Chemistry, Stanford University, Stanford, California 94305, United States"
756,Diego,Solis-Ibarra,"Department of Chemistry, Stanford University "
757,Hemamala I.,Karunadasa,"Department of Chemistry, Stanford University "
758,Robert L. Z. ,Hoye,Massachusetts Institute of Technology
759,Riley E.,Brandt,Massachusetts Institute of Technology
760,Anna,Osherov,Massachusetts Institute of Technology
761,Vladan ,Stevanovic,"Colorado School of Mines, National Renewable Energy Laboratory"
762,Samuel D.,Stranks,"Massachusetts Institute of Technology, University of Cambridge"
763,Mark W. B. ,Wilson,Massachusetts Institute of Technology
764,Hyunho,Kim,Massachusetts Institute of Technology
765,Austin J.,Akey,Massachusetts Institute of Technology
766,John D.,Perkins,National Renewable Energy Laboratory
767,Rachel C.,Kurchin,Massachusetts Institute of Technology
768,Jeremy R.,Poindexter,Massachusetts Institute of Technology
769,Evelyn N.,Wang,Massachusetts Institute of Technology
770,Moungi G.,Bawendi,Massachusetts Institute of Technology
771,Vladimir Bulovic,Bulovic,Massachusetts Institute of Technology
772,Tonio,Buonassisi,Massachusetts Institute of Technology
773,Manoj K.,Jana,"Department of Mechanical Engineering and Materials Science, Duke University"
774,Sven ,Lidin,"Centre for Analysis and Synthesis, Lund University"
775,David J. ,Dirkes,"Department of Chemistry, University of North Carolina at Chapel Hill"
776,Volker,Blum,"Department of Mechanical Engineering and Materials Science, Duke University,Department of Chemistry, Duke University "
777,David B.,Mitzi,"Department of Mechanical Engineering and Materials Science, Duke University,Department of Chemistry, Duke University "
778,Loi T.,Nguyen,"Department of Chemistry and Biochemistry, California State University, Department of Chemistry, Princeton University"
779,Robert J.,Cava,"Department of Chemistry, Princeton University"
780,Allyson M.,Fry-Petit,"Department of Chemistry and Biochemistry, California State University"
781,Fengxia,Wei,"Department of Materials Science and Metallurgy, University of Cambridge; Institute of Materials Research and Engineering, Agency for Science, Technology and Research"
782,Federico,Brivio,"Department of Materials Science and Metallurgy, University of Cambridge"
783,Yue,Wu,"Department of Materials Science and Metallurgy, University of Cambridge"
784,Paul D.,Bristowe,"Department of Materials Science and Metallurgy, University of Cambridge"
785,Adam H.,Slavney,"Department of Chemistry, Stanford University"
786,Linn,Leppert,"Institute of Physics, University of Bayreuth"
787,Abraham ,Saldivar Valdes,"Department of Chemistry, Stanford University"
788,Davide,Bartesaghi,"Department of Chemical Engineering, University of Technology, Delft"
789,Tom J.,Savenije,"Department of Chemical Engineering, University of Technology, Delft"
790,Jeffrey B.,Neaton,"Department of Physics,University of California (USA),andMolecular Foundry,Lawrence Berkeley National Laboratory (USA),and Kavli Energy NanoScience, Institute at Berkeley"
791,Yao ,Gao,"Charles D. Davidson School of Chemical Engineering, Purdue University, West Lafayette, Indiana 47907, United States"
792,Zitang,Wei,"Charles D. Davidson School of Chemical Engineering, Purdue University, West Lafayette, Indiana 47907, United States"
793,Pilsun ,Yoo,"School of Materials Engineering, Purdue University, West Lafayette, Indiana 47907, United States"
794,Enzheng,Shi,"Charles D. Davidson School of Chemical Engineering, Purdue University, West Lafayette, Indiana 47907, United States"
795,Matthias,Zeller,"Department of Chemistry, Purdue University, West Lafayette, Indiana 47907, United States"
796,Chenhui,Zhu,"Advanced Light Source, Lawrence Berkeley National Laboratory, Berkeley, California 94720, United States"
797,Peilin,Liao,"School of Materials Engineering, Purdue University, West Lafayette, Indiana 47907, United States"
798,Letian,Dou,"Charles D. Davidson School of Chemical Engineering, Birck Nanotechnology Center, Purdue University, West Lafayette, Indiana 47907, United States"
799,David M.,Fabian,
800,Alex M.,Ganose,
801,Joseph W.,Ziller,
802,David O.,Scanlon,
803,Matthew C.,Beard,
804,Shane,Ardo,
805,Luiz Gustavo,Bonato,
806,Jose Carlos,Germino,
807,Willian Xerxes,Coelho Oliveira,
808,Rupini,Kamat,
809,Junwei,Xu,
810,Christopher J.,Tassone,
811,Samuel D.,Stranks,
812,Michael F.,Toney,
813,Ana Flavia,Nogueira,
814,Enzheng,Shi,"Davidson School of Chemical Engineering, Purdue University, West Lafayette, IN, USA."
815,Stephen B.,Shiring,"Davidson School of Chemical Engineering, Purdue University, West Lafayette, IN, USA."
816,Yao,Gao,"Davidson School of Chemical Engineering, Purdue University, West Lafayette, IN, USA."
817,Akriti,,"Davidson School of Chemical Engineering, Purdue University, West Lafayette, IN, USA."
818,Yunfan,Guo,"Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, USA"
819,Cong,Su,"Research Lab of Electronics (RLE), Massachusetts Institutes of Technology, Cambridge, MA, USA"
820,Minliang,Lai,"Department of Chemistry, University of California, Berkeley, CA, USA"
821,Peidong,Yang,"Department of Chemistry, University of California, Berkeley, CA, USA; Materials Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA, USA; Kavli Energy NanoScience Institute, Berkeley, CA, USA"
822,Jing,Kong,"Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, USA"
823,Brett M.,Savoie,"Davidson School of Chemical Engineering, Purdue University, West Lafayette, IN, USA."
824,Letian,Dou,"Davidson School of Chemical Engineering, Purdue University, West Lafayette, IN, USA; Birck Nanotechnology Center, Purdue University, West Lafayette, IN, USA"
825,Hong,Chen,
826,Jia,Lin,
827,Joohoon,Kang,
828,Qiao,Kong,
829,Dylan,Lu,
830,Jun,Kang,
831,Minliang,Lai,
832,Li Na,Quan,
833,Zhenni,Lin,
834,Jianbo,Jin,
835,Lin-wang,Wang,
836,Peidong,Yang,
837,Xiwen,Gong,"Department of Electrical and Computer Engineering, University of Toronto"
838,Oleksandr ,Voznyy ,"Department of Electrical and Computer Engineering, University of Toronto"
839,Ankit ,Jain,"Department of Electrical and Computer Engineering, University of Toronto"
840,Wenjia, Liu,"Department of Electrical and Computer Engineering, University of Toronto"
841,Randy ,Sabatini,"Department of Electrical and Computer Engineering, University of Toronto"
842,Zachary ,Piontkowski,"Department of Chemistry, University of Rochester"
843,Grant ,Walters,"Department of Electrical and Computer Engineering, University of Toronto"
844,Golam ,Bappi,"Department of Electrical and Computer Engineering, University of Toronto"
845,Sergiy ,Nokhrin,"Department of Chemistry, University of Toronto, Toronto, ON, Canada"
846,Oleksandr ,Bushuyev,"Department of Chemistry, University of Toronto, Toronto, ON, Canada"
847,Mingjian ,Yuan,"Department of Electrical and Computer Engineering, University of Toronto"
848,Riccardo ,Comin,"Department of Electrical and Computer Engineering, University of Toronto"
849,David ,McCamant,"Department of Chemistry, University of Rochester"
850,Shana O. ,Kelley  ,"Department of Chemistry, University of Toronto; Department of Pharmaceutical Sciences, Leslie Dan Faculty of Pharmacy, University of Toronto"
851,Edward H. Sargent,Sargent,"Department of Electrical and Computer Engineering, University of Toronto"
852,Haipeng,Lu,
853,Jingying,Wang,
854,Chuanxiao,Xiao,
855,Xin,Pan,
856,Xihan,Chen,
857,Roman,Brunecky,
858,Joseph J.,Berry,
859,Kai,Zhu,
860,Zeev Valy,Vardeny,
861,Iwan,Zimmermann,
862,Sadig,Aghazada,
863,Mohammad Khaja,Nazeeruddin,
864,Aidan H.,Coffey,"Davidson School of Chemical Engineering, Purdue University"
865,Pilsun,Yoo,"School of Materials Engineering, Purdue University"
866,Dong Hee,Kim,"Davidson School of Chemical Engineering, Purdue University"
867,Akriti,,"Davidson School of Chemical Engineering, Purdue University"
868,Matthias,Zeller,"Department of Chemistry, Purdue University"
869,Sona,Avetian,"Department of Chemistry, Purdue University"
870,Libai,Huang,"Department of Chemistry, Purdue University"
871,Peilin,Liao,"School of Materials Engineering, Purdue University"
872,Letian,Dou,"Davidson School of Chemical Engineering, Purdue University"
873,Chan Myae Myae,Soe,
874,Constantinos C.,Stoumpos,
875,Mikael,Kepenekian,
876,Boubacar,Traore,
877,Hsinhan,Tsai,
878,Wanyi,Nie,
879,Binghao,Wang,
880,Claudine,Katan,
881,Ram,Seshadri,
882,Aditya D.,Mohite,
883,Jacky,Even,
884,Tobin J.,Marks,
885,Mercouri G.,Kanatzidis,
886,Lingling,Mao,
887,Lin,Ma,
888,Jino,Im,
889,Christos D.,Malliakas,
890,Feng,Hao,
891,Michael R.,Wasielewski,
892,Akira,Endo,AIST
893,Sho,Kataoka,AIST
894,Olga,Nazarenko,
895,Martin Robert,Kotyrba,
896,Michael,Worle,
897,Eduardo,Cuervo-Reyes,
898,Sergii,Yakunin,
899,Maksym V.,Kovalenko,
900, Shiguo,Han ,State Key Laboratory of Structural Chemistry
901,Xitao ,Liu,Fujan Institute of Research on the Structure of Matter
902,Yaobin ,Li,Chinese Academy of Scinences
903,Maochun ,Hong,
904,Junhua ,Luo,
905,Zhihua,Sun,
906,Jean-Christophe,Blancon,
907,Duyen H.,Cao,
908,Fangze,Liu,
909,Sammy,Shaker,
910,Federico,Brivio,
911,Ramaswamy ,Murugavel,
912,Paul ,D. Bristowe,
913,Anthony ,K. Cheetham ,"Department of Chemistry, Indian Institute of Technology Bombay"
914,In-Hyeok,Park,"Department of Chemistry, National University of Singapore"
915,Qiannan,Zhang,"Division of Physics and Applied Physics, School of Physical and Mathematical Sciences"
916,Ki Chang,Kwon,"Department of Chemistry, National University of Singapore"
917,Ziyu,Zhu,"Department of Chemistry, National University of Singapore"
918,Kai,Leng,"Department of Chemistry, National University of Singapore"
919,David,Giovanni,"Division of Physics and Applied Physics, School of Physical and Mathematical Sciences"
920,Hwa Seob,Choi,"Department of Chemistry, National University of Singapore"
921,Ibrahim,Abdelwahab,"Department of Chemistry, National University of Singapore"
922,Qing-Hua,Xu,"Department of Chemistry, National University of Singapore"
923,Tze Chien,Sum,"Division of Physics and Applied Physics, School of Physical and Mathematical Sciences"
924,Kian Ping,Loh,"Department of Chemistry, National University of Singapore"
925,Xiaotong,Li,"Department of Chemistry, Northwestern University"
926,Yihui,He,"Department of Chemistry, Northwestern University"
927,Mikael,Kepenekian,"Univ Rennes, ENSCR, INSA Rennes, CNRS, ISCR (Institut des Sciences Chimiques de Rennes)"
928,Peijun,Guo,"Center for Nanoscale Materials, Argonne National Laboratory"
929,Weijun,Ke,"Department of Chemistry, Northwestern University"
930,Constantinos C.,Stoumpos,"Department of Materials Science and Technology, Voutes Campus, University of Crete"
931,Richard D.,Schaller,"Department of Chemistry, Northwestern University; Center for Nanoscale Materials, Argonne National Laboratory"
932,Mercouri G.,Kanatzidis,"Department of Chemistry, Northwestern University"
933,Gustavo,Grinblat,"The Blackett Laboratory, Department of Physics, Imperial College London"
934,Ibrahim,Abdelwahab,"++ Centre for Advanced 2D Materials (CA2DM) and Department of Chemistry, National University of Singapore,"
935,Michael,P. Nielsen,"NUS Graduate School for Integrative Sciences and Engineering, National University of Singapore"
936,Paul,Dichtl,"School of Photovoltaic and Renewable Energy Engineering, University of New South Wales, Sydney"
937,Kai,Leng,Chair in Hybrid Nanosystems
938,Rupert,F. Oulton,
939,Kian,Ping Loh,
940,Stefan,A. Maier,
941,Tariq ,Sheikh,National Centre for Photovoltaic Research and Education
942,Vaibhav,Nawale,University Grants Commission
943,Nithin ,Pathooor,"Council of Scientific and Industrial Research, India"
944,Chinmay,Phadnis,Indian Institute of Technology Bombay
945,Arindam,Chowdhury,
946,Angshuman,Nag,
947,Ruyi,Song,
948,Tianyang,Li,
949,Annalise E,Maughan,
950,Andrew,Levin,
951,David B.,Mitzi,
952,Volker,Blum,
953,Weichuan , Zhang,Fujian Institute of Research on the Structure of Matter
954,Xitao,Liu,Chinese Academy of Science
955,Lina,Li,
956,Shiguo ,Han,
957,Zhenyue ,Wu,
958, Junhua ,Luo,
959,Chengmin,Ji,
960,Sasa,Wang,
961,Yu,Peng,
962,Kewen ,Tao,
963,Andreas,Lemmerer,
964,David G.,Billing,
965,James V.,Passarelli,
966,Daniel J.,Fairfield,
967,Nicholas A.,Sather,
968,Mark P.,Hendricks,
969,Hiroaki,Sai,
970,Charlotte L.,Stern,
971,Samuel I.,Stupp,
972,Han-Yue,Zhang,"Physical Science and Engineering Division, King Abdullah University of Science & Technology"
973,Xiang-Jiang,Song,"School of Materials Science and Engineering, University of New South Wales"
974,Xiao-Gang,Chen,"School of Physics, Southeast University"
975,Zhi-Xu,Zhang,"Joint Centers of Excellence Program, King Abdulaziz City for Science and Technology"
976,Yu-Meng,You,"Division of Physics and Applied Physics, School of Physical and Mathematical Sciences, Nanyang Technological University"
977,Yuan-Yuan,Tang,"Department of Chemistry, Duke University"
978,Ren-Gen,Xiong,
979,Catherine M.,Mauck,
980,Samuel W.,Winslow,
981,Collin F.,Perkinson,
982,Jacob C.,Bard,
983,Kristopher W.,Williams,
984,Ashwin,Narayanan,
985,William A.,Tisdale,
986,Daniele,Cortecchia,"Interdisciplinary Graduate School, Energy Research Institute at NTU "
987,Herlina,Arianita Dewi,Energy Research Institute @ NTU
988,Jun, Yin,"Division of Physics and Applied Physics, Nanyang Technological University"
989,Annalisa,Bruno,"Laboratory of Photonics and Interfaces, Department of Chemistry and Chemical Engineering"
990,Shi,Chen," School of Materials Science and Engineering, Nanyang Technological University"
991,Tom, Baikie,
992,Pablo P, Boix,
993,Michael,Gratzel,
994,Subodh,Mhaisalkar,
995,Cesare,Soci,
996,Nripan ,Mathews,
997,Caue,F. Ferreira,"Department of Chemistry, University of Florida"
998, Eduardo, E. Perez-Cordero,
999,Khalil,A. Abboud,
1000, Daniel,R. Talham,
1001,Constantinos C. ,Stoumpos,"Materials Science Division, Argonne National Laboratory, Argonne, Illinois"
1002,Christos D.,Malliakas,"Materials Science Division, Argonne National Laboratory, Argonne, Illinois"
1003,John A.,Peters,"Department of Materials Science and Engineering, Northwestern University, Evanston, Illinois"
1004,Zhifu,Liu,"Department of Materials Science and Engineering, Northwestern University, Evanston, Illinois"
1005,Maria,Sebastian,"Department of Materials Science and Engineering, Northwestern University, Evanston, Illinois"
1006,Jino,Im,"Department of Physics and Astronomy, Northwestern University, Evanston, Illinois"
1007,Thomas C.,Chasapis,"Department of Chemistry, Northwestern University, Evanston, Illinois"
1008,Arief C.,Wibowo,"Materials Science Division, Argonne National Laboratory, Argonne, Illinois"
1009,Duck Young ,Chung,"Materials Science Division, Argonne National Laboratory, Argonne, Illinois"
1010,Arthur J.,Freeman,"Department of Physics and Astronomy, Northwestern University, Evanston, Illinois"
1011,Bruce W.,Wessels,"Department of Materials Science and Engineering, Northwestern University, Evanston, Illinois"
1012,Mercouri G.,Kanatzidis,"Materials Science Division, Argonne National Laboratory, Argonne, Illinois; Department of Chemistry, Northwestern University, Evanston, Illinois"
1013,In,Chung,"Department of Chemistry, Northwestern University, Evanston, Illinois"
1014,Jung-Hwan,Song,"Department of Physics and Astronomy, Northwestern University, Evanston, Illinois"
1015,John,Androulakis,"Department of Chemistry, Northwestern University, Evanston, Illinois"
1016,Christos D.,Malliakas,"Department of Chemistry, Northwestern University, Evanston, Illinois"
1017,Hao,Li,"Department of Chemistry, Northwestern University, Evanston, Illinois"
1018,John T.,Kenney,"OmniPV Inc., 1030 Hamilton Court, Menlo Park, California"
1019,Mercouri G.,Kanatzidis,"Department of Chemistry, Northwestern University, Evanston, Illinois"
1020,Aizhao ,Pan,"Department of Chemistry, School of Science, Xi'an Jiaotong University"
1021,Matthew,J. Jurow,"The Molecular Foundry, Lawrence Berkeley National Laboratory"
1022,Fen,Qiu,"Key Laboratory of Inorganic Molecule-Based Chemistry of Liaoning Province,"
1023,Juan,Yang,"# Materials Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, California"
1024,Baoyi,Ren,
1025,Jeffrey,J. Urban,
1026,Ling ,He,
1027,Yi,Liu,
1028,Constantinos C.,Stoumpos,"Department of Chemistry, Northwestern University"
1029,Christos D.,Malliakas,"Department of Chemistry, Northwestern University"
1030,Venkataramanan,Ravi,Department of Chemical Engineering The Pennsylvania State University
1031,Jason,M. Binz,Department of Chemical Engineering The Pennsylvania State University
1032,Robert,M. Rioux,Department of Chemical Engineering The Pennsylvania State University
1033,Andrew ,Barnabas Wong,"Department of Materials Science and Engineering, University of California"
1034,Minliang,Lai,"Department of Chemistry, University of California"
1035,Samuel,Wilson Eaton,"Materials Sciences Division, Lawrence Berkeley National Laboratory"
1036,Yi,Yu,
1037,Elbert,Li,"Kavli Energy Nanosciences Institute, Berkeley, California"
1038,Letian,Dou,
1039,Anthony,Fu,
1040,Sebastien,Sourisseau,
1041,Nicolas,Louvain,
1042,Wenhua,Bi,
1043,Nicolas,Mercier,
1044,David,Rondeau,
1045,Florent,Boucher,
1046,Jean-Yves,Buzare,
1047,Christophe,Legein,
1048,Ana,B. Munoz-Garcia,
1049,Michele,Pavone,
1050,Balasubramaniam,Saravanakumar,
1051, Shin, Soyoon,
1052,Sang-Jae,Kim,
1053,Jiyu,Tian,
1054,David,B. Cordes,
1055,Claudio,Quarti,
1056,David,Belijonne,
1057,Alexandra,M.Z Slawin,
1058,Eli,Zysman-Colman,
1059,Finlay,D. Morrison,
1060,Xixi ,Qin ,Duke University
1061,Te,Hu,
1062,Matthew,D. Smith,
1063,Emma ,R. Donher,
1064,Meng-Ju,Sher,
1065,M. Tuan ,Trinh,
1066,Alan,Fisher,
1067,Jeff ,Corbett,
1068,X.-Y,Zhu,
1069,Hemamala,I. Karunadasa,
1070,Aaron ,M. Lindenberg ,
1071,Adam,Jaffe,"Departments of + Chemistry and ++ Geological Sciences, Stanford University"
1072,Yu,Lin,"Photon Science and Stanford Institute for Materials and Energy Sciences,"
1073,Christine,M. Beavers,
1074,Johannes,Voss,
1075,Wendy,L. Mao,
1076,Ioannis,Spanopoulos,"Department of Chemistry, Northwestern University"
1077,Ido,Hadar,"Department of Chemistry, Northwestern University"
1078,Qing,Tu,"Department of Materials Science & Engineering, Northwestern University"
1079,Michelle,Chen,"Department of Chemistry, Northwestern University"
1080,Hsinhan,Tsai,"Los Alamos National Laboratory, Los Alamos, New Mexico"
1081,Gajendra,Shekhawat,"Department of Materials Science & Engineering, Northwestern University; Northwestern University Atomic and Nanoscale Characterization Experimental (NUANCE) Center, Northwestern University"
1082,Vinayak P.,Dravid,"Department of Materials Science & Engineering, Northwestern University; Northwestern University Atomic and Nanoscale Characterization Experimental (NUANCE) Center, Northwestern University"
1083,Michael R. ,Wasielewski,"Department of Chemistry, Northwestern University"
1084,Aditya D.,Mohite,"Department of Chemical and Biomolecular Engineering, Rice University, Houston, Texas"
1085,Yinyan,Li,
1086,Cuikun,Lin,
1087,Guoli,Zheng,
1088,Jun,Lin,
1089,Byung-Wook,Park,
1090, Bertrand,Philippe,
1091,Xiaoliang,Zhang,
1092,Hakan,Rensmo,
1093,Gerrit ,Boschloo,
1094, Erik ,M. J. Johansson,
1095,Lingling,Mao,"Department of Chemistry, Northwestern University, Evanston, Illinois; Materials Department and Materials Research Laboratory, Department of Chemistry and Biochemistry, University of California, Santa Barbara, California"
1096,Peijun,Guo,"Center for Nanoscale Materials, Argonne National Laboratory, Lemont, Illinois"
1097,Ioannis,Spanopoulos,"Department of Chemistry, Northwestern University, Evanston, Illinois"
1098,Yihui,He,"Department of Chemistry, Northwestern University, Evanston, Illinois"
1099,Richard D.,Schaller,"Department of Chemistry, Northwestern University, Evanston, Illinois; Center for Nanoscale Materials, Argonne National Laboratory, Lemont, Illinois"
1100,Ram,Seshadri,"Materials Department and Materials Research Laboratory, Department of Chemistry and Biochemistry, University of California, Santa Barbara, California"
1101,Constantinos C.,Stoumpos,"Department of Chemistry, Northwestern University, Evanston, Illinois"
1102,Mercouri G.,Kanatzidis," Department of Chemistry, Northwestern University, Evanston, Illinois"
1103,Zhengtao,Xu,
1104,David R.,Medeiros,
1105,Zhang-Jing,Zhang,
1106,Guo-Cong,Guo,
1107,Gang,Xu,
1108,Ming-Lai,Fu,
1109,Jian-Ping,Zou,
1110,Jin-Shun,Huang,
1111,Patrick R. L.,Malenfant,
1112,Benny,Febriansyah,"Energy Research Institute at Nanyang Technological University (ERI@N); Interdiscipinary Graduate School (IGS), Nanyang Technological University; Division of Chemistry and Biological Chemistry, School of Physical and Mathematical Sciences, Nanyang Technological University"
1113,Teck Ming,Koh,Energy Research Institute at Nanyang Technological University (ERI@N)
1114,Yulia,Lekina,"Division of Physics and Applied Physics, School of Physical and Mathematical Sciences, Nanyang Technological University"
1115,Nur Fadilah,Jamaludin,"Energy Research Institute at Nanyang Technological University (ERI@N); Interdiscipinary Graduate School (IGS), Nanyang Technological University; School of Materials Science and Engineering, Nanyang Technological University"
1116,Annalisa,Bruno,Energy Research Institute at Nanyang Technological University (ERI@N)
1117,Ze Xiang,Shen,"|Division of Physics and Applied Physics, School of Physical and Mathematical Sciences, Nanyang Technological University"
1118,Subodh G.,Mhaisalkar,"Energy Research Institute at Nanyang Technological University (ERI@N); School of Materials Science and Engineering, Nanyang Technological University"
1119,Jason,England,"Division of Chemistry and Biological Chemistry, School of Physical and Mathematical Sciences, Nanyang Technological University"
1120,Julian,Gebhardt,"Makineni Theoretical Laboratories, Department of Chemistry, University of Pennsylvania, Philadelphia, Pennsylvania"
1121,Youngkuk,Kim,"Makineni Theoretical Laboratories, Department of Chemistry, University of Pennsylvania, Philadelphia, Pennsylvania"
1122,Andrew M.,Rappe,"Makineni Theoretical Laboratories, Department of Chemistry, University of Pennsylvania, Philadelphia, Pennsylvania"
1123,Daniel ,B. Straus,
1124,Sebastian ,Hurtado Parra,
1125,Natasha ,Iotov,
1126,Julian ,Gebhardt,
1127,Andrew,M. Rappe,
1128,Joseph,E. Subotnik,
1129,James,M. Kikkawa,
1130,Cherie,R. Kagan ,
1131,Connor,G. Bischak,
1132, Craig,L. Hetherington,
1133,Hao,Wu,
1134,Shaul ,Aloni,
1135,D. ,Frank Ogletree,
1136,David,T. Limmer,
1137,Naomi,S. Ginsberg,
1138,Yuyang,Tian,
1139,Yulu , Li,
1140,Baoquan,Chen,
1141,Runchen,Lai,
1142,Shan ,He,
1143,Xiao,Luo,
1144,Yaoyao,Han,
1145,Yi,Wei,
1146,Kaifeng,Wu,
1147,Chuang,Zhang,
1148,Haoliang,Liu,
1149,Ryan,McLaughlin,
1150,Yaxin,Zhai,
1151,Shai,R. Vardeny,
1152,Xiaojie,Liu,
1153,Stephen ,McGill,
1154,Dmitry,Semenov,
1155,Hangwen ,Guo,
1156,Ryuichi,Tsuchikawa,
1157,Vikram,V. Deshpande,
1158,Dali,Sun,
1159,Z. Valy,Vardeny,
1160,Jiaying,Liu,
1161,Jiangjian,Shi,
1162,Dongmei,Li,
1163,Fei,Zhang,
1164,Xianggao,Li,
1165,Yin,Xiao,
1166,Shirong,Wang,
1167,Dewei ,Ma,"Department of Chemistry, University of Wisconsin-Madison, Madison, Wisconsin 53706, United States;  Department of Applied Physics, Zhejiang University of Technology, Hangzhou 310014, China"
1168,Yongping,Fu,"Department of Chemistry, University of Wisconsin-Madison, Madison, Wisconsin 53706, United States"
1169,Lianna,Dang,"Department of Chemistry, University of Wisconsin-Madison, Madison, Wisconsin 53706, United States"
1170,Jianyuan,Zhai,"Department of Chemistry, University of Wisconsin-Madison, Madison, Wisconsin 53706, United States"
1171,Ilia A.,Guzei,"Department of Chemistry, University of Wisconsin-Madison, Madison, Wisconsin 53706, United States"
1172,Song,Jin,"Department of Chemistry, University of Wisconsin-Madison, Madison, Wisconsin 53706, United States"
1173,J.,Calabrese,"Central Research and Development Department,  E.I. du Pont de Nemours & Company"
1174,N. L. ,Jones,"Central Research and Development Department,  E.I. du Pont de Nemours & Company"
1175,R. L.,Harlow,"Central Research and Development Department,  E.I. du Pont de Nemours & Company"
1176,N.,Herron,"Central Research and Development Department,  E.I. du Pont de Nemours & Company"
1177,D. L. ,Thorn,"Central Research and Development Department,  E.I. du Pont de Nemours & Company"
1178,Y.,Wang,"Central Research and Development Department,  E.I. du Pont de Nemours & Company"
1179,Daniel B.,Straus,"Department of Chemistry, University of Pennsylvania, Philadelphia, Pennsylvania"
1180,Natasha,Iotov,"Department of Physics, University of Pennsylvania, Philadelphia, Pennsylvania"
1181,Michael R.,Gau,"Department of Chemistry, University of Pennsylvania, Philadelphia, Pennsylvania"
1182,Qinghua,Zhao,"Department of Chemistry, University of Pennsylvania, Philadelphia, Pennsylvania"
1183,Patrick J.,Carroll,"Department of Chemistry, University of Pennsylvania, Philadelphia, Pennsylvania"
1184,Cherie R.,Kagan,"Department of Chemistry, Electrical and Systems Engineering, and Materials Science and Engineering, University of Pennsylvania, Philadelphia, Pennsylvania"
