id,first_name,last_name,institution
170,Hemamala I,Karunadasa,"Department of Chemistry, , Stanford University"
171,Emma R,Dohner,"Department of Chemistry, Stanford University"
172,Adam,Jaffe,"Department of Chemistry, Stanford University"
173,Liam R,Bradshaw,"Department of Chemistry, University of Washington"
174,Hemamala I,Karunadasa,"Department of Chemistry, Stanford University"
175,A,Yangui,"Groupe d'Etudes de la Matiere Condensee (GEMaC), CNRS, Universite de Versailles Saint-Quentin-en-Yvelines; Laboratoire de Physique Appliquee (LPA), Faculte des Sciences de Sfax"
176,D,Garrot,"Groupe d'Etudes de la Matiere Condensee (GEMaC), CNRS, Universite de Versailles Saint-Quentin-en-Yvelines"
177,J. S,Lauret,"Laboratoire Aime Cotton, Ecole Normale Superieure de Cachan, CNRS, Universite de Paris-Sud"
178,A,Lusson,"Groupe d'Etudes de la Matiere Condensee (GEMaC), CNRS, Universite de Versailles Saint-Quentin-en-Yvelines"
179,G,Bouchez,"Groupe d'Etudes de la Matiere Condensee (GEMaC), CNRS, Universite de Versailles Saint-Quentin-en-Yvelines"
180,E,Deleporte,"Laboratoire Aime Cotton, Ecole Normale Superieure de Cachan, CNRS, Universite de Paris-Sud"
181,S,Pillet,Universite de Lorraine
182,E.E,Bendeif,Universite de Lorraine
183,M,Castro,"Departamento de Ciencia y Tecnologia de Materiales y Fluidos, Escuela de Ingenieria y Arquitectura, Instituto de Ciencia de Materiales de Aragon (CSIC-Universidad de Zaragoza), C/Maria de Luna no. 3, 500018 Zaragoza, Spain"
184,S,Triki,"Laboratoire de Chimie, Electrochimie Moleculaires et Chimie Analytique, CNRS, Universite de Bretagne Occidentale"
185,Y,Abid,"Laboratoire de Physique Appliquee (LPA), Faculte des Sciences de Sfax"
186,K,Boukheddaden,"Groupe d'Etudes de la Matiere Condensee (GEMaC), CNRS, Universite de Versailles Saint-Quentin-en-Yvelines"
187,Y.Y,Li,"Key Laboratory of Rare Earth Chemistry and Physics, State Key Laboratory of Polymer Physics and Chemistry, and State Key Laboratory of Electroanalytical Chemistry, Changchun Institute of Applied Chemistry, Chinese Academy of Sciences"
188,C.K,Lin,"Key Laboratory of Rare Earth Chemistry and Physics, State Key Laboratory of Polymer Physics and Chemistry, and State Key Laboratory of Electroanalytical Chemistry, Changchun Institute of Applied Chemistry, Chinese Academy of Sciences"
189,G.L,Zheng,"Key Laboratory of Rare Earth Chemistry and Physics, State Key Laboratory of Polymer Physics and Chemistry, and State Key Laboratory of Electroanalytical Chemistry, Changchun Institute of Applied Chemistry, Chinese Academy of Sciences"
190,Z.Y,Cheng,"Key Laboratory of Rare Earth Chemistry and Physics, State Key Laboratory of Polymer Physics and Chemistry, and State Key Laboratory of Electroanalytical Chemistry, Changchun Institute of Applied Chemistry, Chinese Academy of Sciences"
191,H,You,"Key Laboratory of Rare Earth Chemistry and Physics, State Key Laboratory of Polymer Physics and Chemistry, and State Key Laboratory of Electroanalytical Chemistry, Changchun Institute of Applied Chemistry, Chinese Academy of Sciences"
192,W.D,Wang,Graduate School of the Chinese Academy of Sciences
193,J,Lin,"Key Laboratory of Rare Earth Chemistry and Physics, State Key Laboratory of Polymer Physics and Chemistry, and State Key Laboratory of Electroanalytical Chemistry, Changchun Institute of Applied Chemistry, Chinese Academy of Sciences"
194,Krishnamoorthy,Thirumal,"Energy Research Institute @NTU (ERI@N); Division of Chemistry and Biological Chemistry, School of Physical and Mathematical Sciences, Nanyang Technological University"
195,Wee Kiang,Chong,"Energy Research Institute @ NTU, ERI@N, Interdisciplinary Graduate School, Nanyang Technological University; Division of Physics and Applied Physics, School of Physical and Mathematical Sciences, Nanyang Technological University"
196,Wei,Xie,"Department of Materials Science and Engineering, University of California, Berkeley"
197,Rakesh,Ganguly,"Division of Chemistry and Biological Chemistry, School of Physical and Mathematical Sciences, Nanyang Technological University"
198,Subas Kumar,Muduli,"Energy Research Institute @NTU (ERI@N), Research Techno Plaza"
199,Matthew,Sherburne,"Department of Materials Science and Engineering, University of California, Berkeley"
200,Mark,Asta,"Department of Materials Science and Engineering, University of California, Berkeley"
201,Subodh,Mhaisalkar,"Energy Research Institute @NTU (ERI@N), Research Techno Plaza; School of Materials Science and Engineering, Nanyang Technological University"
202,Tze Chien,Sum,"Division of Physics and Applied Physics, School of Physical and Mathematical Sciences, Nanyang Technological University"
203,Han Sen,Soo,"Division of Chemistry and Biological Chemistry, School of Physical and Mathematical Sciences, Nanyang Technological University"
204,Nripan,Mathews,"Energy Research Institute @NTU (ERI@N), Research Techno Plaza; School of Materials Science and Engineering, Nanyang Technological University"
205,Lingling,Mao,"Department of Chemistry,  Northwestern University"
206,Yilei,Wu,"Department of Chemistry,  Northwestern University"
207,Constantinos C,Stoumpos,"Department of Chemistry,  Northwestern University"
208,Boubacar,Traore,"Institut des sciences chimiques de Rennes, CNRS, Universitede Rennes 1, Ecole Nationale Superieure de Chimie de Rennes, INSA de Rennes"
209,Claudine,Katan,"Institut des sciences chimiques de Rennes, CNRS, Universitede Rennes 1, Ecole Nationale Superieure de Chimie de Rennes, INSA de Rennes"
210,Jacky,Even,"Fonctions Optiques pour les Technologies de l'Information (FOTON), INSA de Rennes"
211,Michael R.,Wasielewski,"Department of Chemistry and ++Argonne-Northwestern Solar Energy Research (ANSER) Center, Northwestern University"
212,Mercouri G.,Kanatzidis,"Department of Chemistry and ++Argonne-Northwestern Solar Energy Research (ANSER) Center, Northwestern University"
213,Edward P,Booker,"+Cavendish Laboratory, University of Cambridge"
214,Tudor H,Thomas,"+Cavendish Laboratory, University of Cambridge"
215,Claudio,Quarti,"Laboratory for Chemistry of Novel Materials, University of Mons"
216,Michael R,Stanton,"+Cavendish Laboratory, University of Cambridge"
217,Cameron D,Dashwood,"+Cavendish Laboratory, University of Cambridge"
218,Alexander J,Gillett,"+Cavendish Laboratory, University of Cambridge"
219,Johannes M.,Richter,"+Cavendish Laboratory, University of Cambridge"
220,Andrew J,Pearson,"+Cavendish Laboratory, University of Cambridge"
221,Nathaniel J. L. K.,Davis,"+Cavendish Laboratory, University of Cambridge"
222,Henning,Sirringhaus,"+Cavendish Laboratory, University of Cambridge"
223,Michael B,Price,"+Cavendish Laboratory, University of Cambridge"
224,Neil C,Greenham,"+Cavendish Laboratory, University of Cambridge"
225,David,Beljonne,"Laboratory for Chemistry of Novel Materials, University of Mons"
226,Sian E,Dutton,"+Cavendish Laboratory, University of Cambridge"
227,Felix,Deschler,"+Cavendish Laboratory, University of Cambridge"
228,Matthew D,Smith,"Department of Chemistry, Stanford University"
229,Aaron M.,Lindenberg,"Department of Materials Science and Engineering, Stanford University"
230,Lingling,Mao,"Department of Chemistry, Northwestern University"
231,Yilei,Wu,"Department of Chemistry, Northwestern University"
232,Constantinos C,Stoumpos,"Department of Chemistry, Northwestern University"
233,Michael R,Wasielewski,"Department of Chemistry and Argonne-Northwestern Solar Energy Research (ANSER) Center, Northwestern University"
234,Mercouri G,Kanatzidis,"Department of Chemistry and Argonne-Northwestern Solar Energy Research (ANSER) Center, Northwestern University"
235,Daniele,Cortecchia,"Interdisciplinary Graduate School, Energy Research Institute @ NTU(ERI@N), Nanyang Technological University, Centre for Nano Science and Technology (CNST@PoliMi), Istituto Italiano di Tecnologia"
236,Stefanie,Neutzner,"Centre for Nano Science and Technology (CNST@PoliMi), Istituto Italiano di Tecnologia"
237,Ajay Ram Srimath,Kandada,"Centre for Nano Science and Technology (CNST@PoliMi), Istituto Italiano di Tecnologia"
238,Edoardo,Mosconi,"Istituto CNR di Scienze e Tecnologie Molecolari, c/o Dipartimento di Chimica, Universita di Perugia; CompuNet, Istituto Italiano di Tecnologia"
239,Daniele,Meggiolaro,"Istituto CNR di Scienze e Tecnologie Molecolari, c/o Dipartimento di Chimica, Universita di Perugia; CompuNet, Istituto Italiano di Tecnologia"
240,Filippo De,Angelis,"Istituto CNR di Scienze e Tecnologie Molecolari, c/o Dipartimento di Chimica, Universita di Perugia; CompuNet, Istituto Italiano di Tecnologia"
241,Cesare,Soci,"Division of Physics and Applied Physics, School of Physical and Mathematical Sciences, Nanyang Technological University"
242,Annamaria,Petrozza,"Centre for Nano Science and Technology (CNST@PoliMi), Istituto Italiano di Tecnologia"
243,Zhenyue,Wu,"State Key Laboratory of Structural Chemistry, Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences; University of Chinese Academy of Sciences, Chinese Academy of Sciences"
244,Chengmin,Ji,"State Key Laboratory of Structural Chemistry, Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences"
245,Zhihua,Sun,"State Key Laboratory of Structural Chemistry, Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences"
