2022-08-26 16:51:20 WARNING issue with unit arrangement formula:NaTc2Zn calc_id:-Z0_J3AbdUm-zDFoMfo2q1MM2LaG prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:51:22 WARNING issue with unit arrangement formula:OsPdSi2 calc_id:-Z3eiyVoM-6Gqvm2ALaZuZcsU-pY prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:51:25 WARNING issue with unit arrangement formula:MnPbRe2 calc_id:-ZGfsJn0z7CrUbzanf02swrJ_siM prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:51:27 WARNING issue with unit arrangement formula:OsScTa calc_id:-_tipm4YTlWdyrdAWXuO5Rc_ms1_ prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:51:29 WARNING issue with unit arrangement formula:OsTi2Zr calc_id:-_xCF7LwSdQ62zncGAgh7GbR_Vut prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:51:31 WARNING issue with unit arrangement formula:InNbSb2 calc_id:-aYNE1YFLU8q8kFqGUxItQRdmu-j prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:51:33 WARNING issue with unit arrangement formula:InPTc2 calc_id:-c4Y8bcNUU6D4AETIa4X9_X-5_HX prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:51:35 WARNING issue with unit arrangement formula:Ni2TlZr calc_id:-cX7Adw1ClsSAVnhCFGLYLmz_B5L prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:51:38 WARNING issue with unit arrangement formula:Na2SbTa calc_id:-dORWQUJPZhJcWqR3h0X_-C10AKY prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:51:46 WARNING issue with unit arrangement formula:La2SiSr calc_id:-fYYmP2ExsAQmwVO-9An67YJ7TC4 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:51:49 WARNING issue with unit arrangement formula:IrMg2Sc calc_id:-foq6_rswKRF7gdyIidBNo-xRBOm prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:51:51 WARNING issue with unit arrangement formula:InNbPd2 calc_id:-gFSSKoNl5zU1PU1hFZWjLy9iiyg prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:51:53 WARNING issue with unit arrangement formula:PSnTi calc_id:-hARbq6ZFK3P4wE-zUOaiU_YP47M prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:51:55 WARNING issue with unit arrangement formula:Li2PSn calc_id:-hNC9g6QtS2TI-6GkRbd8w8eGgQF prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:51:57 WARNING issue with unit arrangement formula:Nb2TcTe calc_id:-hPDMkkXqwRsOUaj5f9TCwpxU2s5 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:51:59 WARNING issue with unit arrangement formula:Mg2SnSr calc_id:-i7GITZczwTVa2y1SmutGLHck_OH prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:02 WARNING issue with unit arrangement formula:OsTa2V calc_id:-jgrdIWCTUqUTc0KYHxOLogY_9_v prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:04 WARNING issue with unit arrangement formula:SeSr2Tl calc_id:-jkIuxm9Vxe3IdbtT_aoIRmSU5Ee prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:06 WARNING issue with unit arrangement formula:RuTlY2 calc_id:-kUQvKpu96HjXiEDDmsNtEZquo7U prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:13 WARNING issue with unit arrangement formula:RuSbZr2 calc_id:-kZ1NrQQCayA3pJNKnZnoH_ir52N prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:16 WARNING issue with unit arrangement formula:IrLiTc2 calc_id:-mBlJD5jp0G9O6rpRBHsxXow35UX prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:18 WARNING issue with unit arrangement formula:LaSeZn2 calc_id:-mMpmH1F9f_GFhcNrX9Rm68gsZSY prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:20 WARNING issue with unit arrangement formula:MoRhY calc_id:-mhPNmCmCfchR8oNq9kFfeWnJh8x prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:22 WARNING issue with unit arrangement formula:LiMnZn2 calc_id:-nOsg7hrh7GAbR7GM8cDx5-nf-fX prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:24 WARNING issue with unit arrangement formula:MgReSc2 calc_id:-ndzSH8LHUKqEDAhsYKYkCm_-HUg prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:26 WARNING issue with unit arrangement formula:In2NbRu calc_id:-oipVMkiPnOqMg4mlgJZEtfdZ3ss prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:29 WARNING issue with unit arrangement formula:LiTe2Tl calc_id:-pI8L02G8IO3jGfN6DJVcgRy7U1k prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:31 WARNING issue with unit arrangement formula:Mn2RhRu calc_id:-pLW_XdExQMLRaBAbWRJ2SnSpNuH prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:33 WARNING issue with unit arrangement formula:P2ReZn calc_id:-pM1IbvnMd_IH7yx7qIuhjBfUy7N prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:41 WARNING issue with unit arrangement formula:Nb2SbSn calc_id:-pWvPsQo2c0h0OTAtlyKS0ylh-cI prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:44 WARNING issue with unit arrangement formula:MgOsTe2 calc_id:-piKnVoJhp_oSRElE6Lj3iL57EfZ prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:46 WARNING issue with unit arrangement formula:PtSrZr2 calc_id:-qjrXklBclN2g-VcL1f8rcl_Xrkb prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:48 WARNING issue with unit arrangement formula:K2LaRh calc_id:-r8OAQxSsO2UTTea3AMyUEuAqW-S prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:50 WARNING issue with unit arrangement formula:MnPbSn2 calc_id:-rTeWbzryIc7vem8V17QOgLQkKJt prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:52 WARNING issue with unit arrangement formula:Mg2ZnZr calc_id:-rbSFrAMa3U7rIXiLk0s_AEta-Ve prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:55 WARNING issue with unit arrangement formula:RhSbSi calc_id:-rbZ_WG7ZPQ-RLrOBQd24HKZKgHN prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:57 WARNING issue with unit arrangement formula:LaMoRh2 calc_id:-sA3_q2rItiGYHgO3AU54eT7Iloj prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:52:59 WARNING issue with unit arrangement formula:La2OsW calc_id:-sSC7dK1QtnFZ7zCg7vuHVthJbtK prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:53:01 WARNING issue with unit arrangement formula:OsSn2Y calc_id:-sYkApByo8muGCMOpFC51ehfi8WC prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:53:09 WARNING issue with unit arrangement formula:ReTiW calc_id:-sZ7XPv-h_GpqDuazErINemV5dTw prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:53:11 WARNING issue with unit arrangement formula:MgTiV2 calc_id:-tM1mefITtlD2v8WKspOFQ9gO2jT prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:53:13 WARNING issue with unit arrangement formula:Os2PbY calc_id:-tpzVeNzSwIiaI2k3Us30Uo6RiLY prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:53:15 WARNING issue with unit arrangement formula:LiOs2Ru calc_id:-uEdXfzIsN61Lcm5e740-BNxUnsK prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:53:17 WARNING issue with unit arrangement formula:PdTlV2 calc_id:-ulb9IOP9BqBHjdbXI4aGqng6wtv prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:53:19 WARNING issue with unit arrangement formula:LiPPd2 calc_id:-vxIFp3hhQ3yJ6xjVNllG6ofqxvp prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:53:22 WARNING issue with unit arrangement formula:KRh2V calc_id:-wRsFiw1NFYR4-HDyciSQUQ5Y6rf prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:53:24 WARNING issue with unit arrangement formula:MgOsSc2 calc_id:-wo5UyuNSzdXjD-WY8ZvzR-PMu0B prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:53:26 WARNING issue with unit arrangement formula:KPdSn2 calc_id:-x11DEbAwuwVGtTxU8YpRXOpUtGy prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:53:28 WARNING issue with unit arrangement formula:PdScTe2 calc_id:-xEFcRcRvfNGFie8vXitu1ZOCl4o prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-01 18:16:30 WARNING issue with unit arrangement formula:In2NiPb calc_id:-xzgq_zssoJ3MOZBU4tLGXjPz40H prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-01 18:16:33 WARNING issue with unit arrangement formula:Os2TaZr calc_id:-yOLwRmhBRMH9q03vCJ226ntDrTa prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-01 18:16:35 WARNING issue with unit arrangement formula:MoTc2V calc_id:-yhn-lP_qgk8Z6HP1AwY38Jh7fVI prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-01 18:16:37 WARNING issue with unit arrangement formula:LaNbZn2 calc_id:-yxhvXkEc1vJvUZ0SYxaKv4h8XMP prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-01 18:16:39 WARNING issue with unit arrangement formula:SiVZr2 calc_id:-z8eCePIDykLO1MriOG5ntyPuzhu prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:29:23 WARNING issue with unit arrangement formula:PPtY2 calc_id:0-rNuC5V_3Rh7K4t0wM8M3mDYs13 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-07 21:29:25 WARNING issue with unit arrangement formula:La2PbV calc_id:0-voXcEfFgnVxFMfE0ap59_aFC-s prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
