2021-12-20 18:38:28 WARNING issue with unit arrangement formula:IrMo2Nb calc_id:-NDobeodwNEYmHl7-k2pfD4-SELB prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:38:30 WARNING issue with unit arrangement formula:MnTc2Tl calc_id:-O7HcG-YqwEF58hsxfdTTfuwnyja prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:38:32 WARNING issue with unit arrangement formula:OsPSe calc_id:-OBa5gpUjqU87it0ivKIKDh8q3mv prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:38:34 WARNING issue with unit arrangement formula:MnRhW2 calc_id:-O_MiNPnMw9_L6A8rJRd1L10G1J6 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:38:36 WARNING issue with unit arrangement formula:IrRhSi2 calc_id:-OrmWPtLPxp5UXMP0jArxLMBg9Ka prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:38:38 WARNING issue with unit arrangement formula:Mg2YZr calc_id:-PBqsg0-6cakdA_zlc-K1-nmK2J_ prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:38:41 WARNING issue with unit arrangement formula:InNbRu2 calc_id:-QBK5rYxXvLV3RmGRCpVRbhP5k8d prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:38:43 WARNING issue with unit arrangement formula:Nb2PbSe calc_id:-QZZnQUjLlBQ5S8aMlQOcMspqWS0 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:38:45 WARNING issue with unit arrangement formula:Sb2TeTi calc_id:-SZE2uHTd3vfbqGGPZ_ho_BSEsIb prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:38:51 WARNING issue with unit arrangement formula:Nb2ReSi calc_id:-UHFNtXd4r4KfHEPOVHchz01FZjr prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:38:53 WARNING issue with unit arrangement formula:NaNiPd calc_id:-VE_jelJN0E49KQyPwY6SO2Uzjc1 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:38:55 WARNING issue with unit arrangement formula:SiSrTl2 calc_id:-VgWbdp_KN6hUAD51aP4tbJGMTS5 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:38:57 WARNING issue with unit arrangement formula:InOs2Tl calc_id:-XUzEL-8SqEgBwJTu1rsWBg0u6sQ prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
