id,author_id,reference_id
271,253,49
272,254,49
273,255,49
274,256,49
275,257,49
276,258,50
277,259,50
278,260,50
279,247,50
280,245,50
281,261,50
282,249,50
283,250,50
284,127,51
285,126,51
286,263,51
287,264,52
288,265,52
289,266,52
290,267,53
291,268,53
292,269,53
293,270,53
294,271,53
295,272,53
296,273,53
297,274,54
298,275,54
299,276,54
300,277,54
301,278,54
302,279,54
303,280,54
304,281,54
305,282,55
306,283,55
307,284,55
308,285,55
309,290,56
310,291,56
311,292,56
312,293,57
313,294,57
314,295,57
315,296,57
316,62,57
317,297,57
318,298,57
319,66,57
320,299,57
321,300,58
322,301,59
323,302,59
324,303,59
325,304,59
326,305,59
327,306,59
328,307,59
329,308,59
330,309,59
331,310,59
332,311,59
333,312,59
334,313,59
335,314,59
336,315,59
337,316,59
338,317,59
339,318,60
340,319,60
341,320,60
342,321,60
343,292,60
344,322,60
345,323,60
346,87,60
347,89,60
348,324,61
349,325,61
350,326,61
351,327,61
352,328,61
353,329,61
354,330,61
355,331,61
356,332,61
357,333,61
358,334,61
359,335,61
360,336,61
361,337,61
362,338,61
363,339,61
364,340,61
365,341,61
366,342,62
367,343,62
368,344,62
369,345,62
370,346,62
371,347,62
372,348,62
373,349,62
374,350,63
375,351,63
376,352,63
377,353,63
378,354,63
379,355,63
380,356,63
381,357,63
382,358,63
383,324,64
384,325,64
385,332,64
386,326,64
387,327,64
388,331,64
389,333,64
390,339,64
391,340,64
392,341,64
393,359,65
394,360,65
395,361,65
396,362,65
397,363,65
398,364,66
399,365,66
400,366,66
401,367,66
402,368,66
403,369,66
404,370,66
405,371,66
406,372,66
407,373,66
408,374,66
409,375,66
411,377,68
412,378,68
413,379,68
414,380,68
415,381,68
416,382,68
417,383,68
418,384,68
419,385,68
420,386,69
421,303,69
422,387,69
423,388,69
424,313,69
425,389,69
426,390,69
427,308,69
428,305,69
429,391,69
430,314,69
431,392,69
432,317,69
433,393,70
434,394,70
435,395,70
436,396,71
437,397,71
438,398,72
439,399,73
440,400,73
441,401,73
442,402,73
443,403,73
444,404,73
445,405,73
446,406,73
447,390,74
448,386,74
449,303,74
450,407,74
451,408,74
452,308,74
453,307,74
454,409,74
455,410,74
456,411,74
457,412,74
458,305,74
459,314,74
460,317,74
461,413,75
462,414,75
463,415,75
464,416,75
465,417,75
466,386,76
467,418,76
468,303,76
469,390,76
470,305,76
471,306,76
472,307,76
473,308,76
474,309,76
475,310,76
476,311,76
477,312,76
478,313,76
479,314,76
480,315,76
481,419,76
482,420,76
483,421,77
484,422,77
485,423,77
486,424,77
487,425,77
488,426,77
489,427,77
490,428,77
491,429,77
492,421,78
493,422,78
494,423,78
495,424,78
496,425,78
497,426,78
498,427,78
499,428,78
500,429,78
501,430,79
502,431,79
503,432,79
504,433,79
505,434,79
506,435,79
507,436,79
508,437,79
509,438,80
510,439,80
511,440,80
512,441,81
513,442,81
514,443,81
515,444,81
516,445,81
517,446,81
518,447,81
519,448,81
520,449,81
521,450,81
522,451,82
523,452,82
524,453,82
525,454,82
526,455,82
527,456,82
528,313,82
529,312,82
530,314,82
531,457,82
532,458,82
533,459,82
534,452,84
535,303,84
536,460,84
537,461,84
538,306,84
539,305,84
540,462,84
541,309,84
542,463,84
543,464,84
544,465,84
545,466,84
546,316,84
547,458,84
548,467,85
549,468,85
550,300,86
551,469,86
552,470,86
553,471,86
554,472,86
555,473,87
556,474,87
557,475,88
558,300,88
559,476,88
560,477,88
561,468,89
562,467,89
563,478,90
564,479,90
565,468,91
566,467,91
567,480,92
568,477,92
569,300,93
570,481,93
571,482,93
572,483,94
573,484,94
574,485,95
575,486,95
576,487,95
577,488,95
578,489,95
579,490,95
580,491,95
581,1,95
582,4,96
583,492,97
584,493,97
585,494,97
586,495,97
587,496,97
588,497,97
589,498,97
590,499,97
591,500,98
592,501,98
593,502,98
594,503,98
595,504,98
596,505,98
597,64,98
598,65,98
599,66,98
600,506,98
601,507,99
602,508,99
603,509,99
604,510,99
605,511,99
606,340,99
607,512,100
608,513,100
609,514,101
610,515,101
611,516,101
612,517,101
613,518,101
614,519,101
615,520,101
616,521,101
617,522,101
618,523,102
619,524,102
620,525,102
621,526,102
622,527,102
623,528,102
624,529,103
625,530,103
626,531,103
627,532,103
628,533,103
629,534,104
630,535,104
631,536,105
632,537,105
633,538,105
634,539,105
635,540,106
636,541,106
637,542,106
638,543,106
639,544,106
640,545,107
641,546,107
642,547,107
643,548,107
644,549,107
645,550,107
646,551,107
647,552,107
648,553,107
649,554,107
650,555,108
651,556,108
652,557,108
653,558,108
654,559,108
655,560,108
656,561,108
657,562,108
658,563,108
659,564,109
660,565,109
661,566,109
662,567,109
663,568,110
664,569,110
665,570,110
666,571,110
667,572,110
668,573,111
669,574,111
670,575,111
671,576,111
672,577,112
673,578,112
674,579,112
675,580,112
676,581,112
677,582,112
678,583,113
679,584,113
680,585,113
681,586,113
682,587,114
683,584,114
684,588,114
685,589,115
686,590,115
687,591,115
688,592,115
689,593,115
690,594,115
691,595,115
692,596,115
693,597,116
694,598,116
695,599,116
696,600,116
697,601,116
698,602,116
699,603,117
700,602,117
701,604,117
702,605,117
703,606,117
704,607,117
705,608,117
706,609,117
707,610,117
708,611,117
709,612,117
710,613,117
711,614,117
712,615,117
713,616,117
714,617,117
715,618,117
716,619,118
717,620,118
718,621,118
719,622,118
720,623,118
721,624,118
722,625,119
723,626,119
724,627,119
725,628,119
726,629,119
727,630,119
728,631,119
729,632,119
730,633,119
731,634,119
732,635,119
733,636,120
734,637,120
735,638,120
736,639,120
737,624,120
738,623,120
739,640,121
740,641,121
741,642,121
742,628,121
743,643,121
744,644,121
745,645,121
746,646,121
747,647,122
748,648,123
749,649,123
750,650,123
751,651,123
752,652,123
753,653,123
754,654,124
755,655,124
756,656,124
757,657,125
758,658,126
759,659,127
760,660,128
761,661,128
762,662,128
763,663,128
764,664,128
765,665,128
766,666,129
767,667,129
768,668,129
769,669,129
770,670,129
771,671,129
772,672,129
773,673,129
774,674,129
775,675,129
776,676,129
777,677,129
778,678,129
779,679,130
780,680,131
781,681,132
782,682,133
783,683,133
784,684,133
785,685,133
786,686,133
787,687,133
788,688,133
