id,subset_id,dataset_id,numerical_id,value,qualifier,primary_property_id,secondary_property_id,value_temp,label
162,6,6,323,0.7081,0,4,5,296.0,K
163,6,6,324,452.798,1,4,5,296.0,K
163,6,6,325,0.7081,0,4,5,296.0,K
164,6,6,326,456.913,1,4,5,296.0,K
164,6,6,327,0.70705,0,4,5,296.0,K
165,6,6,328,458.903,1,4,5,296.0,K
165,6,6,329,0.70705,0,4,5,296.0,K
166,6,6,330,460.628,1,4,5,296.0,K
166,6,6,331,0.70812,0,4,5,296.0,K
167,6,6,332,462.221,1,4,5,296.0,K
167,6,6,333,0.70918,0,4,5,296.0,K
168,6,6,334,465.406,1,4,5,296.0,K
168,6,6,335,0.70848,0,4,5,296.0,K
169,6,6,336,468.989,1,4,5,296.0,K
169,6,6,337,0.70848,0,4,5,296.0,K
170,6,6,338,470.715,1,4,5,296.0,K
170,6,6,339,0.70743,0,4,5,296.0,K
171,6,6,340,472.706,1,4,5,296.0,K
171,6,6,341,0.70637,0,4,5,296.0,K
172,6,6,342,475.625,1,4,5,296.0,K
172,6,6,343,0.7092,0,4,5,296.0,K
173,6,6,344,479.606,1,4,5,296.0,K
173,6,6,345,0.70921,0,4,5,296.0,K
174,6,6,346,483.986,1,4,5,296.0,K
174,6,6,347,0.70851,0,4,5,296.0,K
175,6,6,348,488.233,1,4,5,296.0,K
175,6,6,349,0.70852,0,4,5,296.0,K
176,6,6,350,492.612,1,4,5,296.0,K
176,6,6,351,0.71029,0,4,5,296.0,K
177,6,6,352,498.186,1,4,5,296.0,K
177,6,6,353,0.7103,0,4,5,296.0,K
178,6,6,354,503.096,1,4,5,296.0,K
178,6,6,355,0.71102,0,4,5,296.0,K
179,6,6,356,505.484,1,4,5,296.0,K
179,6,6,357,0.71421,0,4,5,296.0,K
180,6,6,358,507.606,1,4,5,296.0,K
180,6,6,359,0.7181,0,4,5,296.0,K
181,6,6,360,510.259,1,4,5,296.0,K
181,6,6,361,0.7227,0,4,5,296.0,K
182,6,6,362,512.248,1,4,5,296.0,K
182,6,6,363,0.72907,0,4,5,296.0,K
183,6,6,364,514.237,1,4,5,296.0,K
183,6,6,365,0.73544,0,4,5,296.0,K
184,6,6,366,516.359,1,4,5,296.0,K
184,6,6,367,0.74251,0,4,5,296.0,K
185,6,6,368,517.419,1,4,5,296.0,K
185,6,6,369,0.74888,0,4,5,296.0,K
186,6,6,370,518.479,1,4,5,296.0,K
186,6,6,371,0.75454,0,4,5,296.0,K
187,6,6,372,519.671,1,4,5,296.0,K
187,6,6,373,0.7648,0,4,5,296.0,K
188,6,6,374,520.863,1,4,5,296.0,K
188,6,6,375,0.77258,0,4,5,296.0,K
189,6,6,376,522.321,1,4,5,296.0,K
189,6,6,377,0.78001,0,4,5,296.0,K
190,6,6,378,523.381,1,4,5,296.0,K
190,6,6,379,0.78637,0,4,5,296.0,K
191,6,6,380,524.574,1,4,5,296.0,K
191,6,6,381,0.79168,0,4,5,296.0,K
192,6,6,382,526.83,1,4,5,296.0,K
192,6,6,383,0.79204,0,4,5,296.0,K
193,6,6,384,528.69,1,4,5,296.0,K
193,6,6,385,0.78709,0,4,5,296.0,K
194,6,6,386,529.753,1,4,5,296.0,K
194,6,6,387,0.78002,0,4,5,296.0,K
195,6,6,388,530.949,1,4,5,296.0,K
195,6,6,389,0.77507,0,4,5,296.0,K
196,6,6,390,532.278,1,4,5,296.0,K
196,6,6,391,0.768,0,4,5,296.0,K
197,6,6,392,533.342,1,4,5,296.0,K
197,6,6,393,0.76058,0,4,5,296.0,K
198,6,6,394,534.803,1,4,5,296.0,K
198,6,6,395,0.75386,0,4,5,296.0,K
199,6,6,396,536.398,1,4,5,296.0,K
199,6,6,397,0.74679,0,4,5,296.0,K
200,6,6,398,538.257,1,4,5,296.0,K
200,6,6,399,0.74185,0,4,5,296.0,K
201,6,6,400,540.249,1,4,5,296.0,K
201,6,6,401,0.73513,0,4,5,296.0,K
202,6,6,402,542.374,1,4,5,296.0,K
202,6,6,403,0.73125,0,4,5,296.0,K
203,6,6,404,544.498,1,4,5,296.0,K
